MoldId,MachineId,Product,Cavities,RatedCapacityPerDay,RatedCapacityPerHour,CyclesPerHour,IdealCycleTimeSec
M-INJ-001,IM-001,Tampa rosca comum 24/410,24,~30.800 pieces/day,~1275 pieces/h,50,72
M-INJ-002,IM-002,Tampa rosca comum 24/410,16,~20.500 pieces/day,~850 pieces/h,50,72
M-INJ-003,IM-003,Tampa rosca comum 24/415,32,~41.000 pieces/day,~1700 pieces/h,50,72
M-INJ-004,IM-004,Tampa rosca comum 28/410,24,~30.800 pieces/day,~1275 pieces/h,50,72
M-INJ-005,IM-005,Tampa flip top 24/410,16,~20.500 pieces/day,~850 pieces/h,50,72
M-INJ-009,IM-006,Tampa flip top 28/415,12,~15.400 pieces/day,~650 pieces/h,50,72
M-INJ-006,IM-006,Tampa flip top 24/415,8,~10.300 pieces/day,~425 pieces/h,50,72
M-INJ-007,IM-004,Tampa flip top 28/410,12,~15.400 pieces/day,~650 pieces/h,50,72
M-INJ-008,IM-005,Tampa flip top 28/410,16,~20.500 pieces/day,~850 pieces/h,50,72
M-SOP-001,ISBM-001,"Frasco Round, 300 ml",8,~15.400 bottles/day,~650 bottles/h,75,48
M-SOP-002,ISBM-002,"Frasco Oval, 300 ml",8,~15.400 bottles/day,~650 bottles/h,75,48
M-SOP-003,ISBM-003,"Frasco Square, 300 ml",6,~11.500 bottles/day,~475 bottles/h,75,48
M-SOP-004,ISBM-004,"Frasco Round, 330 ml",8,~15.400 bottles/day,~650 bottles/h,75,48
M-SOP-005,ISBM-002,"Frasco Oval, 330 ml",8,~15.400 bottles/day,~650 bottles/h,75,48
M-SOP-006,ISBM-003,"Frasco Square, 330 ml",6,~11.500 bottles/day,~475 bottles/h,75,48
M-SOP-007,ISBM-001,"Frasco Round, 350 ml",8,~15.400 bottles/day,~650 bottles/h,75,48
M-SOP-008,ISBM-002,"Frasco Oval, 350 ml",8,~15.400 bottles/day,~650 bottles/h,75,48
M-SOP-009,ISBM-003,"Frasco Square, 350 ml",6,~11.500 bottles/day,~475 bottles/h,75,48
M-SOP-010,ISBM-005,"Frasco Round, 400 ml",8,~15.400 bottles/day,~650 bottles/h,75,48
M-SOP-011,ISBM-006,"Frasco Oval, 400 ml",8,~15.400 bottles/day,~650 bottles/h,75,48
M-SOP-012,ISBM-004,"Frasco Square, 400 ml",8,~15.400 bottles/day,~650 bottles/h,75,48
M-SOP-013,ISBM-005,"Frasco Round, 500 ml",8,~15.400 bottles/day,~650 bottles/h,75,48
M-SOP-014,ISBM-006,"Frasco Oval, 500 ml",8,~15.400 bottles/day,~650 bottles/h,75,48
M-SOP-015,ISBM-007,"Frasco Square, 500 ml",6,~11.500 bottles/day,~475 bottles/h,75,48
M-SOP-016,ISBM-008,"Frasco Round, 600 ml",8,~15.400 bottles/day,~650 bottles/h,75,48
M-SOP-017,ISBM-007,"Frasco Oval, 600 ml",8,~15.400 bottles/day,~650 bottles/h,75,48
M-SOP-018,ISBM-006,"Frasco Square, 600 ml",8,~15.400 bottles/day,~650 bottles/h,75,48
M-SOP-019,ISBM-008,"Frasco Round, 750 ml",8,~15.400 bottles/day,~650 bottles/h,75,48
M-SOP-020,ISBM-007,"Frasco Oval, 750 ml",6,~11.500 bottles/day,~475 bottles/h,75,48
M-SOP-021,ISBM-003,"Frasco Square, 750 ml",6,~11.500 bottles/day,~475 bottles/h,75,48
M-SOP-022,ISBM-008,"Frasco Round, 1000 ml",6,~11.500 bottles/day,~475 bottles/h,75,48
M-SOP-023,ISBM-005,"Frasco Square, 1000 ml",4,~7.700 bottles/day,~325 bottles/h,75,48
M-SOP-024,ISBM-006,"Frasco Rectangular, 1000 ml",4,~7.700 bottles/day,~325 bottles/h,75,48
M-SOP-025,ISBM-003,"Frasco Hexagonal, 1000 ml",4,~7.700 bottles/day,~325 bottles/h,75,48
M-SOP-026,ISBM-004,"Frasco Square, 4000 ml",4,~5.100 bottles/day,~225 bottles/h,50,72
M-SOP-027,ISBM-005,"Frasco Round, 5000 ml",2,~2.600 bottles/day,~100 bottles/h,50,72
M-SOP-028,ISBM-006,"Frasco Square, 5000 ml",2,~2.600 bottles/day,~100 bottles/h,50,72
M-SOP-029,ISBM-004,"Frasco Rectangular, 5000 ml",2,~2.600 bottles/day,~100 bottles/h,50,72
